image_id,filename,group,room,direction,furniture,gt_mm,gt_source,exif_focal_mm,wall_visible,note
036,래미안원베일리_115동31층_113_76__84_93__거실2_4500.jpg,A,거실,좌우,empty,4500,네이버도면,N/A,one_unclear,"주방 방향, 좌측 벽 끝 불명확"
037,래미안원베일리_115동31층_113_76__84_93__큰침실_3600.jpg,A,안방,앞뒤,empty,3600,네이버도면,N/A,one_unclear,우측 복도 방향 열려있음
038,래미안원베일리_107동8층_80_38__59_96__거실1방향_3600.jpg,A,거실,좌우,empty,3600,네이버도면,N/A,both_clear,"주방 방향, 빌트인 아일랜드"
039,래미안원베일리_107동8층_80_38__59_96__거실2방향_3600.jpg,A,거실,좌우,empty,3600,네이버도면,N/A,one_unclear,"창문 정면, 우측 아일랜드 가림"
040,래미안원베일리_103동12층_154_87__116_95__거실_5000.jpg,A,거실,좌우,empty,5000,네이버도면,N/A,one_unclear,"코너 촬영, 좌측 아일랜드 가림"
041,래미안원베일리_103동12층_154_87__116_95__발코니쪽방_2700.jpg,A,침실(발코니),좌우,empty,2700,네이버도면,N/A,both_clear,"창문 정면, 양쪽 벽 명확"
042,래미안원베일리_103동12층_154_87__116_95__입구방시점1_3300.jpg,A,침실(입구),앞뒤,empty,3300,네이버도면,N/A,one_unclear,붙박이장 벽면 차지
043,래미안원베일리_103동12층_154_87__116_95__입구방시점2_3300.jpg,A,침실(입구),좌우,empty,3300,네이버도면,N/A,one_unclear,좌측 벽 잘림
044,래미안원베일리_115동24층_112_85__84_95__작은방1시점_2800.jpg,A,침실(작은),앞뒤,empty,2800,네이버도면,N/A,one_unclear,"붙박이장 정면, 우측 문 열림"
045,래미안원베일리_115동24층_112_85__84_95__작은방2시점_2800.jpg,A,침실(작은),좌우,empty,2800,네이버도면,N/A,both_clear,"좌측 코너 창문, 좌측 벽 잘림"
046,래미안원베일리_115동24층_112_85__84_95__큰침실_3600.jpg,A,안방,좌우,empty,3600,네이버도면,N/A,both_clear,"정면 문 두 개, 양쪽 벽 명확"
047,올림픽파크포레온_312동중층_112_69__84_99__2700작은방2방향.png,A,침실(작은),앞뒤,empty,2700,네이버도면,N/A,both_clear,"붙박이장 정면, 양쪽 벽 명확"
048,올림픽파크포레온_312동중층_112_69__84_99__3000작은방.png,A,침실(작은),앞뒤,empty,3000,네이버도면,N/A,both_clear,"붙박이장 정면, 양쪽 벽 명확"
049,올림픽파크포레온_312동중층_112_69__84_99__큰침실1방향.png,A,안방,좌우,empty,3600,네이버도면,N/A,one_unclear,"발코니 도어 우측, 우측 벽 잘림"
050,올림픽파크포레온_312동중층_112_69__84_99__큰침실2방향.png,A,안방,좌우,empty,3600,네이버도면,N/A,both_clear,"문 방향, 양쪽 벽 명확"
051,올림픽파크포레온_321동고층__62_24__39_95__거실.png,A,거실,좌우,empty,3100,네이버도면,N/A,one_unclear,"코너 촬영, 우측 빌트인장+주방 가림"
052,올림픽파크포레온_321동고층__62_24__39_95__큰침실.png,A,안방,앞뒤,empty,2700,네이버도면,N/A,one_unclear,"코너 촬영, 좌측 창문벽 잘림"
053,올림픽파크포레온_417동중층_112_98__84_99__2700작은방.png,A,침실(작은),좌우,empty,2700,네이버도면,N/A,both_clear,"창문 정면 중앙, 양쪽 벽 명확"
054,올림픽파크포레온_417동중층_112_98__84_99__거실.png,A,거실,좌우,empty,4500,네이버도면,N/A,both_clear,"창문 정면, 좌측 흰·우측 패널 벽"
055,올림픽파크포레온_417동중층_112_98__84_99__알파룸방향1.png,A,알파룸,좌우,empty,2100,네이버도면,N/A,one_unclear,좌측 벽 잘림
056,올림픽파크포레온_417동중층_112_98__84_99__알파룸방향2.png,A,알파룸,좌우,empty,2100,네이버도면,N/A,both_clear,"창문 정면 중앙, 양쪽 벽 명확"
057,올림픽파크포레온_310동저층_112_69__84_99__3000침실.png,A,침실,앞뒤,normal,3000,네이버도면,N/A,one_unclear,붙박이장 열린 상태
058,올림픽파크포레온_310동저층_112_69__84_99__부엌.png,A,주방,앞뒤,normal,3000,네이버도면,N/A,one_unclear,"아일랜드+상부장 전경 차지, 벽 가림 심함"
059,올림픽파크포레온_210동고층__112_69__84_99__2700작은침실.png,A,침실(작은),좌우,empty,2700,네이버도면,N/A,both_clear,"창문 정면, 양쪽 벽 명확"
060,올림픽파크포레온_210동고층__112_69__84_99__거실1방향.png,A,거실,좌우,empty,4200,네이버도면,N/A,one_unclear,이모지로 중앙 가려짐
061,올림픽파크포레온_210동고층__112_69__84_99__거실2방향.png,A,거실,좌우,empty,4650,네이버도면,N/A,one_unclear,좌측 냉장고 비닐 차지
062,올림픽파크포레온_210동고층__112_69__84_99__거실3방향.png,A,거실,좌우,empty,4200,네이버도면,N/A,both_clear,"창문 정면, 양쪽 벽 명확"
063,올림픽파크포레온_210동고층__112_69__84_99__발코니창고1600.png,A,발코니창고,앞뒤,empty,1600,네이버도면,N/A,both_clear,"수전+선반, 매우 좁은 특수공간"
